,post,age,gender
10,"how goes, little chickens? trying not to get in a rut with life and stuffs, but it's real easy to fall into the groove.. ::(   anyone got any ideas for a remedy?  working on some music stuff, to assist mr. 23 on his album production... still not confident with anything other than percussion, but hoping my drum stuff is good enough to carry me for a bit... (until i learn something else at least) ;;)  /me attacks the piano, desperatley attempting to absorb more information...  anyway, back to rl.. ::)  gideon^",24,male
11,"The State of Missouri has voted for the winning Presidential candidate in 12 of the 13 national general elections conducted since 1952.  Of course, George Bush won the state in 2000.  And, now, he is a sitting incumbent President, seeking re-election.  Check this out:   2000   Total votes cast in GOP primary election: 475,363 Total votes cast in favor of George Bush: 275,366 (58%)  On the other hand,   2004   Total votes cast in Democratic primary election: 418,339 Total votes cast in favor of John Kerry: 211,745 (50%)  Yep.  They're motivated like hell.  Right?  Note: Data  urlLink here .",36,male
12,"Well, I guess today I get my ""I survived the teenage years"" badge for my Moms merit collection. It will proudly be displayed next to all the other numerous milestone memories, that have been collected along the way. In my mind, anyway. And I treasure each and every one of them. But most memorable, will always be the teenage years. Indeed.",46,female
13,"When I was prompted to give the name for this blog I typed down wereallgonnadie. Perhaps there are those of you who are the type who like to know why somethings have the names they do. Like why is the Williamsburg Bridge in NYC named ""The Williamsburg Bridge"". Or why the McDonalds red-haired dude is named 'Ronald' instead of 'Weird-scary-clown-dude'. Whatever, I'm going to give you the insight to why this blog is named the way it is.   Probably soon before I had started to created this blog I had thought of the many things that may kill us Americans in the years to come. I thought about  urlLink near earth objects ,  urlLink famine ,  urlLink AIDS ,  urlLink multiple wars and unrests ,  urlLink global warming ,  urlLink environmental degradation ,  urlLink the end of fossil fuels  and plain old stupid people. Oh yeah and don't forget todays popular favorite:  urlLink Islamic terrorists . By the way there are other possible causes too, these are just the ones I though of right away today. There's nothing like waking up to another bright new day full of endless possible ways that you can meet your demise. Damn Dog, You feel me? Back to the subject, so in the moment right before hitting submit on the blog creation I thought: ""We're all gonna die"". That's it! Tie this little tidbit into the time a few days ago when I typed in wereallgonnadie.com and a website came up (for a rocking metal band) and there you have the name for me. I even have a band named after my blog. Ok I know they did come first.   So, we're all going to die. It's true, I swear. I guess your mommy didn't want to tell you this but she didn't talk to you about sex either did she? She's was always trying to keep the good info from you, that and where she hid the Halloween candy.   Anways, I'm putting all of my money on Jesus. Any takers?",24,male
14,"urlLink  Which poem are you?      Sonnet 17 by Pablo Neruda   Aw, you're a romantic. You believe in true love and all that sort of stuff. How cute are you? To you, love is incredible and amazing.  urlLink        urlLink   Click Here to Take This Quiz     Brought to you by  urlLink  YouThink.com   quizzes and personality tests.            urlLink Read more!",26,female
15,"The following are some of my new words.  Yes some of them are stolen from my friends, but oh well.  The first part (before the ""/"") is the english pronunciation, and the second (after the ""/"") is the real spelling (for words in different languages).   urlLink This  is a good site for finding some good words.   szhamma/llama - I'm not sure what it means, if anything, but evidently in argentinean ""ll"" is pronounced like a soft J.  In german, it would be spelled ""schamma.""  Szhamma is usually used as an exclamation, such as ""Szhamma!"" although it can also be used as a noun, i.e. ""Don't be a szhamma.""  pasae/passer - Also a french word, I have no clue what this one means either, but I do know it's an infinitive form verb.  Since I know it's a verb, I decided to use it as a verb, although, like szhamma, it means next to nothing.  By the way, in german, it'd be ""paßee.""  (dee) gesheershpoolmachina/(die) Geschirrspülmaschine - German for dishwasher.  Just altogether a cool word.  Just a side note, the umlauted ""ü"" is pronounced more like ""eww"" than ""oo"" but it's a subtle difference.  fishsticks - A word Erik Johnson used to say all the time, it's similar to ""Shoot!"" and can't be used for good things.  peaches  peachy - Peaches I use similarly to fishsticks, except with good things.  Peachy is a synonym to super or great.  mofo - I'm sure many of you know what this word is short for, and that it generally means a good friend, similar to ""homey"" although to me sometimes it means what it really is short for.  Kustom Fooder - A phrase we used a lot in ABS today, one of the wisefools came up with it.  I'm sure you can guess it means ""Custom Footer""  wisefool - synonymous to sophmore, which does in fact mean wise fool in some language.  I use it as a noun for sophs as well as an insult to anyone who's not one.  hoser - an idiot.    Lunch was quite interesting today.  Angie and her ""Jo-Jo Po-Ta-Toes"" and that she ""wants to beat Mr. Thompson with a polish sausage.""  And then Logan decides to mix things up and asks Luke if he would make out with Mary; he said ""I'd rather make out with a cow.""  Well not to be outdone, Logan says ""What's the difference?""  I didn't hear it originally but Luke was nice enough to tell me so when I told Mary what logan said I left him out of it.  And so then somehow we got to talking about Mary and how she's married to ""Joseph...""  it was really a szhamma of a time.",15,male
16,"Today a manlady, (gender unrecognizable), was stopped in front of me at Washington  Lincoln. If you have ever been to this intersection - you KNOW that it's always tied in knots. It's one of the gateways to Venice Beach, so its certain that there will be mass amounts of lost tourists, hippies and locals trying get get places. ANyway, the Manlady slowly rolled backwards and hit my bumper. S/he got stuck under my truck. I had to back up to unleash her! I couldn't care less. We passed through the intersection and s/he merged into the turning lane. Heading right to COSTCO to buy the extra double sized portions that suited her extra doubled-sized self.  I waved, ""Don't worry about it"".  S/he obviously had enough, and beyond, to deal with in her mega-shopping store life.",33,female
17,"I'm awake, just can't sleep a wink.  I'm pregnant AGAIN.  Yes, that was a scream.  It's kind of cool in a way, and kind of crazy-making in a way.  How could my life get any more out of control?   I was already sliding toward a breakdown, and then this happens, out of the blue, without my knowledge or approbation.  Do some bodies just want to get pregnant?  Must be.  Do some babies just want to be born?  I dunno.  That's the Mormon way of looking at it, and it's a very comforting thought, tho the cynic in me ( a big part of me) says come ON now with the Mormon folklore.  But what else makes more sense?  Not much.  Sorry to go nuts with the rhetorical questions.  In case you're wondering, being pregnant is no picnic.  Here's the rigamarole on pregnancy #FIVE:  1)  Very nauseated.  Midwives say to take vitamin B6, unisom, and frequent small high protein snacks. 2) That doesn't work.  Begin vomiting.  Can't eat anything.  Midwives call in prescription for phenegren to Seattle while I'm on vacation (vomiting and lying on the couch in Seattle instead of Utah. ) 3)  I want to die now. 4)  Stop taking phenegren pills because I can't keep them down.  Try phenegren suppositories.  5)Phenegren suppositories give diarrhea.  Stop taking. 6)  Can't eat or keep down any food for 24.  Go to ER for IV hydration and nausea drugs.  AAAAAHHHH. 7)  ER doc gives prescription for zofran.  Ten pills cost 100 bucks--that's my COPAY.  AAAAAHHH.  The day after the IV and the zofran is heaven. 8)  But the nausea comes back.  But not all the way, as long as I take the zofran religiously every eight hours. 9)  Two pills left.  My insurance hasn't approved more zofran.  It's early sunday morning. I need three pills to get to Monday.  I'm scared.  And who will pay for more pills, Christian asks. 10)  We can sell our house and move into a tent to pay for more pills.  I don't care.  I'll kill myself.  I'm a wimp.  I can't take it anymore.  I feel worn to a nub, and less strong and resiliant than ever before in my life.  Shouldn't I be all strong and tough after what I've been thru? 11) The zofran makes you constipated and hemerrhoidal.  Buy stool softener and witch hazel wipes.  Dignity is gone. 12)  They can send a man to the moon,  or send a man's penis skyrocketing anyway, but what about helping a girl out with her pregnancy.  Surely more women experience pregnancy than men experience erectile dysfunction.  And surely the relative magnitude of the two problems is not lost on anybody?  13) Do people know what it's like to feel like you have the flu for three, four, five, six, seven, eight or even nine months?  OK--I don't mean to be ungrateful.  I know a lot of woment would love to be pregnant and aren't/can't, etc.  I love my babies, that's for sure.  But I'm suffering big time right now, in my own private Idaho.",37,female
18,"Let's start with the good.   My favorite pirate has a  urlLink blog .  Great story about said pirate: Once, while walking along the banks of the Mississippi about this time of year - Winter Musical time, probably  Annie Get Your Gun  - she stepped on a corn cob and yelled, ""OHMYGOD it's a BIIIIRRRRD!""   The not so good.   Justin and I had a rough weekend.  I will never ever ever look at eight apartments in two days ever again.  EVER.  I will especially never spend all of Valentine's Day driving around Kansas City, including the lovely Troost area and other parts of Missouri I will never be able to find again.  But he found an apartment at 4:00 yesterday afternoon, a really nice one for not a lot of money, and it's close to my apartment (which was actually quite surprising).  I must add that it was also not on our list to visit - we just drove past and decided to go in.  I also had to watch  Swimming Pool , which was the most confusing movie ever, even if I didn't sleep through half of it.  What the hell happened?  If you can tell me why the girl at the end was different than the girl during the rest of the movie, I will give you $5.00.   But Friday was great.   We went to a terrible dinner at the Elephant Bar - don't ever go there - came home and played with Roo, who is enamored with Justin (who isn't?) and then went to Boozefish with the girls.  Connie was such a doll and brought us flowers and Sara's cat, Bill Murray, tried to eat them.   A yarn tragedy  occurred Saturday morning.  I saw  urlLink this  yarn online at work and I thought I might like to have it, mostly because it was super chunky and I love anything chunky and also because it was on sale for $3.99 when it's usually $15.95.  That's a 75% discount, people.  I could make a really inexpensive sweater out of that.  I thought I remembered how I linked to the page.  Two hours on the computer later, I still couldn't find it.  I gave up.  So I come into work today, hoping there's still some left (I bookmarked the page, of course) and there's not.  The yarn of the week is pretty cool, but I would probably need a lot more than I should spend.  KNITPICKS, Kristin, KNITPICKS.  If you ever forget the name of the site again, I will kill you.  I am still very angry.   I miss  Abby, Kate, Maria, Clark, Dave, Big Mar and Chuck B. and most of all, my Peep.  I will hopefully get to see her this weekend.  I could use some good sleep in The Nest with my Peep.",23,female
19,This week really is starting to get me down - all I did today was sit about and watch films; an appuling horror film and 'Trojan War' - a film following a guys attempts and getting condoms - not  the  Trojan War. Nothing much to say...,16,male
20,"I've found a new Blog that i really enjoy reading.   urlLink Father Jake .  He is a self-confessed eccentric and sometimes heretical Anglican priest... but I love the stuff he is saying.   I think this may be appealing to the hunger for discipline that's growing in me.  He had a really good post  urlLink yesterday  about Grace.  He writes: When my youngest son was born, the nurse gave him to me to hold. I walked over to a corner of the room away from the bright lights, and rocked him in my arms as I whispered words of joy. He shook his tiny head, and struggled to open his eyes. We gazed into one another. Time stopped. Nothing but the flow of love between us existed. A moment of grace. A moment that seemed so natural, so spontaneous, and in some ways, so familiar. I had been to that place before. But I couldn't remember when, or where.  As the years went by, the grace flowed. As love was given, it was now returned; not because I was such a perfect father, or the most handsome, or the smartest; but because I was Dad.   This is the root of my understanding of our relationship with God. God is madly, head-over-heals in love with us, and woos us, and all of creation, into being, because we are. I have a hard time holding on to this foundational relationship. In day to day life, it doesn't fit very well. Head over there and read his discussion... I promise, it will make you re-evaluate grace.    Grace   She carries a pearl In perfect condition What once was hers What once was friction What left a mark No longer stains  Because grace makes beauty Out of ugly things  Grace finds beauty In everything  Grace finds goodness In everything   -U2",24,male
21,"Nothing much happened yesterday, I worked and argued with Elvin. Not a while lot different than how today is looking, actually.  I do close tonight, and I'm not looking forward to that. The only upside is that I am training this girl to close, so I at least know I'm not going to be doing it alone. It is nice to have an extra set of hands.  That's about all I have to say for today. I close for the next two days, so I may not have time to log on and write anything.",26,male
22,"My name's Kairsie.... and it doesn't matter if I'm the mafia, a townsperson, the doctor, or the detective.... because no matter who I am I am ALWAYS the first one to be killed",16,female
23,"urlLink Irish church cracks down on ""a la carte"" funerals    ""DUBLIN (Reuters) - Downing pints of beer and telling blue jokes at funeral services will no longer be tolerated by Roman Catholic priests in Ireland.""  The first thing that popped into my head when I read this article were the scenes from  urlLink Angela's Ashes  with Frank McCourt's dad in the pub, using the casket that was for a deceased son as a tabletop for his pint of  urlLink Guiness .",34,male
24,"Here is what i'm working on at work. Its a redesign for the  urlLink Masco  site. They're site is pretty fugly right now, so i'm making it look 100 times better. What do you all think???",23,male
25,"Advertising can be divided into two broad categories—consumer advertising and trade advertising. Consumer advertising is directed at the public. Trade advertising is directed at wholesalers or distributors who resell to the public. This article focuses on consumer advertising, the form of advertising that is familiar to most people.  Consumer advertising can be further divided into national advertising and local advertising. National advertising is aimed at consumers throughout the entire country. National advertising usually attempts to create awareness among the public of a product or service, or it tries to build loyalty to a product or service. Local advertising is aimed at informing people in a particular area where they can purchase a product or service. Advertising to the public may also take the form of institutional advertising, image advertising, informational advertising, or cooperative advertising.  Institutional advertising seeks to create a favorable impression of a business or institution without trying to sell a specific product. This type of advertising is designed solely to build prestige and public respect. For nonprofit institutions, such advertising helps support the institution’s activities—for example, by encouraging blood donations or cash contributions for the work of an organization like the Red Cross. A for-profit business has other reasons for improving its reputation rather than trying to sell a particular product. In some cases a large company may sell a diversity of products. As a result, there is more value and greater efficiency in building a brand image for the company itself. If consumers learn to have a high regard for the company, then they are more likely to have a favorable opinion of all of the company’s diverse products.  Many advertisers prefer a strategy known as image advertising. These advertisers seek to give a product a personality that is unique, appealing, and appropriate so that the consumer will want to choose it over similar products that might fulfill the same need. The personality is created partly by the product's design and packaging but, more importantly, by the words and pictures the advertisements associate with the product. This personality is known as a brand image. Advertisers believe brand image often leads consumers to select one brand over another or instead of a less expensive generic product. Brand image is especially important for commodities such as detergents, jeans, hamburgers, and soft drinks, because within these product categories there are few, if any, major differences.   Informational advertising seeks to promote an idea or influence behavior. Sometimes known as public service advertising, it may try to discourage young people from using illicit drugs or tobacco, or it may encourage people to adopt safer, healthier lifestyles.  Cooperative advertising is an arrangement between manufacturers and retailers in which manufacturers offer credits to their retail customers for advertising. The credits, or advertising allowances, are based on the amount of product the retailer purchases. For example, if the retailer purchases $100,000 worth of a product from a manufacturer, the manufacturer’s cooperative advertising program may allot a 1 percent credit, or $1,000, toward the cost of purchasing an ad that will feature the product. In addition, some manufacturers will match the amount that the retailer spends, sharing the cost of the ad. In the United States antitrust laws enforced by the Federal Trade Commission (FTC) ensure that these ad allowances are offered on equal and proportionate terms so that large retailers are not unduly favored over small retailers. Cooperative advertising is a form of local advertising because it directs consumers to local retail outlets.   urlLink",24,male
26,"I obviously should have read tim jenkins blog before i put up any posts. that's whati get for being excited like a small child with a new toy who can't wait til he gets home to open it. stunna, right now i'mstill happy with youfor the blog but pissed because you made me look stupid. maybe i'm gettingupsetfor nothing though. who saidanyone willactually read mineright?",23,male
27,"I got three standing ovations this weekend.   What did you accomplish?   The show's over, and now I can focus all my attention on my damn Christmas letter.  Just as soon as I get my laundry done.  Mom and Dad drove in to see the show yesterday, and on their way to my house from the theater last night they got run into the median by a bad bus driver.  They ended up blowing a tire -- and then they discovered their spare was flat as well.  Whee.  It was midnight by the time we realized our little saga wouldn't get resolved until morning, so I decided to forgo the cast party last night and get some sleep.   Then Dad and I got up at some ungodly hour this morning to meet the AAA guy who towed him to the Sears tire center -- but we were first in line and Sears even opened early, so we got all fixed up and Mom and Dad left for home by noon with four new tires safely gripping the road underneath them.  And while we were at Sears today, I got my tires rotated -- so I'm done worrying about them for another 7,000 miles.",36,male
