,post,Intent
10,"son overdosed says it was not suiside attemp Hi I am new here and just looking to see if anyone has any advise.My 14 1/2 year old son overdosed the other night. He said it was a mistake he just took to many pills. I found out from him over a 24 hour period he took 20 perks, 7 viks, 13 xanex and drank tequila. We have a large house and he was treating me like crap so he was in the basement playing video games and I was upstairs and did not really pay attention to what he was up to. I had no idea he had gone around the house and found all the meds we had from previous surgeries for pain and the xanex for my anxiety. I cant believe he almost died and i was mad at him so I was not paying attention. I am trying to digest the whole situation, was he just trying to get really messed up or was he trying to end it. He had been wearing a belt around his neck also said he likes it there it makes him feel comfortable. Anyone have thoughts on this or suggestions how to help him. He is already seeing a psychologist and had just gotten out of a 30 day wilderness RTC.",0
11,"Sick of life and people. So im at a crossroads right now, im 18 male i have a great job , good pay, benifits, the whole deal. I also just moved out on my own 2 months ago. Ive been depressed for a few years, highschool was horrible, i was expelled for drug possesion about half way through my senior year. Finished up at another school though and graduated, but thats not the reason it was horrible, I wasnt bullied or anything, i was just a total loner, completly antisocial. I had 1 friend but he got sick of my pessimistic attitude towards everything and eventually drifted away. My childhood was good, until my parents got divorced, some 5 years ago. And since then shit has gone downhill. Empty, lonely, tired, i know people notice becasue my face looks like death, heavy dark circles under my eyes, i have no emotion when i speak, i have no interests. When I wake up on my days off, i just wallow around my empty apartment all day. Its hard to explain how i feel, it truely is the worst kind of suffering, being isolated. Knowing there are others living, loving, socializing, Its hard to just stand up and go meet people, i wish it was that easy. I know this post wont do anything either, i guess the minor satisfaction of others knowing what im going through is somewhat comforting. Not to be smug, but i envy ""stupid people"" who just look at things the way they want to see them, living blindly in there own little happy world. And they just roll with it. As much as i despise ""sheep"" i sometimes want to be one. I have an addiction, not to drugs, a different type of addiction, a guilty, nasty, pathetic, addiction. One i love and crave, but also despise Im not going to explain though (Yeah its that low and vile). I sometimes wonder if this ""addiction"" is a reflection of my OCD. But what do i know im no psychiatrist. The mysteries of life and death have always facinated me, im not religious (go figure right? He hates the government and is an athiest) Im no liberal either if thats what your all leaning towards right now. But thats beside the point. I was raised catholic, accept god, fear god, love god and you will go to heaven and lead a happy life. Obviously that didnt work out in my favor so therefore i start to denie god. I dont like being looked at as a stupid teenage kid who is a complete ignoramus about the world, when the person making that accusation knows nothing about me or what they are talking about. Why would it matter if im 18 and there 40, knowledge is not obtained by years. Anyways im getting off topic, Why should I keep living like I do? Whats the point of living when you dont FEEL anything? When you dont care if you live or die, will it ever end? The sadness the dark feeling that lurks inside of you day and night? It sounds like a cliche but its painfully true. Im very close to ending it, and frankly I dont see why I shouldnt. Replies would be greatly appreciated",1
12,"A Puzzle I went through my notebook and took the best line or two of each poem I've written, then I put them together to create this letter. This is basicly a puzzle fully assembled. As I read over it my eyes filled with tears and my heart ached so bad, it's just a puzzle but I couldn't say it better . . . I'm fighting a war that I can't fight much more. My eyes can't hold the tears, my mind can't control the fears, and my arms ache for one more hug. You'll never know how broken I am, or why my tears have fallen for so many years. One day soon I will give in. Most will never understand why I chose to die. I try to keep everyone from seeing this broken heart of mine, or the deep emptiness in my once bright eyes. Still time continues to pass, the earth continues to rotate, life and death, good and evil, love and hate as well as peace and war continue. People still laugh and cry, live and die and wonder why. I find myself pacing the floor looking for something I've done before. Looking for something I don't have to think to do. The fog in my mind thickens while the darkness grows darker and I find myself living by the light of the moon. The nights shadows hide my tears. The pain that fills my soul and makes me cry when I'm alone. You'll never find all the pieces of my broken heart, I gave them to God hoping he could fix them while my broken body bleeds itself dry. I can hear the whisper of death calling and I see the dark angels that want to take me away. Please hold me close, hold me tight, hold me all through the night. Hold me so I finally feel what love is. Save me from this place where I'm just waiting to die. Have you ever been lost in some of the most familiar places while the salty tears stain your face? You may see the smiles I show on the outside, but you'll never know how I'm dieing on the inside. What happened to the innocent child, the little one so very meek and mild? If you took the bricks from your wall and climbed back up from that painful fall, if you were able to reach beyond your fears, would that child of innocence still be? Would he be building castles in the sand? Would he still smile back at me? Tis' just a dream, this I know, back in time we can never go. I've had these deep dark dreams buried in my mind but living in my heart. One day nothing will be as it seems and the long awaited silence will start. I'll simply fade into a peaceful sleep and nobody will have the slightest clue why, silently, I begin to weep. My pain relief is so long overdue. Is your world always shadowed by a deep sadness? Do you long for some type of human touch? I wish I knew how to ask for what I need, the natural human touch we all need. Would you hold my hand and teach me how to hug? I wish I could hold back the tears just long enough to expose the broken hearted child in me. Do you hear the soft whispers that haunt the silence of the night or the music nobody else seems to hear? Do you know how to ease the pain of a broken heart? I know my death is coming soon. I'm falling into a dark hole that does not exist. All of my sand castles have blown away in the wind. There's an emptiness in the air, an emptiness that I can feel. Somebody is missing here, somebody has gone away. Their dieing of a broken heart, their dieing scared and alone. Nobody knows the pain they try to hide, and nobody knows this Somebody is me. The days are too long and the nights are too short, I'm caught in a life I wish I could abort. Nobody has realized that it's my tears . . . not the rain. Nobody knows of the nightmares that haunt my mind, nobody could possibly know such fears of this kind. Nobody knows that I'm broken and dieing inside. Take this life of mine, take it far away. Take the air from my lungs, take the blood from my heart. Take the pain inside of me, take it all away. Save me from this place where I'm just waiting to die. I can't stop the loneliness that drives me insane or ease the never ending pain. My heart beats hard, fear and panic fills my trembling body. The fear and emptiness that is so indefinably real. My broken heart is flooded with tears, can a person forget how to cry? I'm carrying an ache I need somebody else to feel, to help me understand. Nightmares are stuck in my head. I can't stop thinking, reliving these things, the things that hurt so much. The only way to stop these memories is to stop my brain. I'm sorry that I could not spend more time with you. But the day has come, the oxygen no longer flows, my heart no longer beats, my body no longer grows, my tongue no longer speaks. I'm ready to simply let go. My tears have never really dried but death will dry them, I know . . . Now my heart is forever still and I'm at peace - that can't be wrong.",1
13,"she destroyed my life I am not sure what to do anymore.I just wish there was an easy way out,I have done research on [edited: suicide methods]. Because of my ex i am at my brothers and wouldn't want to do it here because he has kids,i been thinking of a place i can go were noone will find me and have a few drinks first. Because of my ex i am set back 10 years,i used to feel like i was on top of the world at one point,now everything is gone. I gave up everything i ever owned and followed my heart,in hopes we could rekindle our relationship.Because i let my emotions get the best of me,i gave up a job i loved to come home to were we moved from.I poured my heart out to her and she ripped my heart out and stomped all over it. I am so far behind in life,i wish i could [edited: suicide method]. I don't want anyone to think i am a coward,i feel like i had already givin it my best for her and i.Now she gets the good life,she gets to have that life we always wanted now with a guy she cheated on me with.I have to struggle now.Everything i ever thought i accomplished is gone now.LITERALLY everything,i jumped on a plaine and came home with just some clothes and a broken heart.",1
14,"Angry aaarrrggghhhh!!! So mad at myself. I am losing my mind. Today I stopped at a store on the way to work (5 blocks away) and I found I lost my debit card today. Then I go to my car to go to work and my stupid car starts and then dies. It wouldn't move. Stupid thing. Couldn't go to work today. I'm trying not to get too mad at myself. It's not the end of the world. I already went to my bank. I'm waiting for the car to settle/cool and I'm going to try to start it again. I have my checkbook. It's okay. It's just that I keep doing this. I spend 10 minutes looking for my shoe - not with the other one, not in the hall, on the carpet, closet, etc... then I find it's in my hand. I've been carrying it around all along. I do this with my keys, phone, everything. Someone tells me an address or phone # or whatever, and I write it down, and I write down something other than what they tell me. What the hell is wrong with me? My stupid head hurts too. Just so frustrated.",0
15,"It can always get worse A little while ago I struggled with severe depression and thoughts of suicide. Had planned out a fool proof way so I wouldn't fail and end up severely crippled. Came close many times. Dad had died, dog I had since I was a teen who was one of my two best friends in the whole world passed away, wife who was my other best friend divorced me unexpectantly and a series of other things went seriously wrong. My best friend drifted away and I had no other close friends left. Only thing that stopped me each time was I still had a very good although stressful job that paid extremely. Thought at least that's something which I could also use to get some help and try again to make a last attempt to turn my life around. Then I got laid off unexpectantly (never lost a job in my life before) with a deep recession and no other jobs available in my area. Now I am also unemployed, have no money and might lose my house on top of everything else that I was depressed about. Prior to the job loss I would have been positive that this would have pushed me over. Some how I'm still here. I came to an important realization though. No matter how bad things seem they can always get much worse. Best to enjoy what you have now. For about 5 years things in my life kept getting worse and I always kept looking back thinking how good I had it five years ago, two years ago, one year and even six months in the past. Thinking what I wouldn't give to go back to where I was back then when at the time I was also depressed and also thinking what I wouldn't give to go back to better times. For some reason now and recently whether it be that I am in the eye of the storm or that thought that I had better savour today because it can always get much worse tommorow I feel calm and ok. Part of me thinks so what if everything I cared about is now gone. Life is a journey and the past was just one part of the experience with the future being another chapter in the journey of life to get to experience. I really hope that this is not just the eye of the storm.",1
16,"Done and Dusted - ready to go I am truly done and dusted now. Let me start with a short history of myself. I have been diagnosed with manic depression since 18 , I m 38 now , been on all sorts of medicine, only helps temporarily. Seen countless psychiatrists to no avail. I was brought up in a well to do family, my dad died of a heart attack when i was a kid, I grew up being a spoiled brat as my dad has left a fair amount of money behind. I trained as a lawyer and at the height of my professional career, I made quite a bit of money. I started partying to no end and became an alcoholic and was dismissed from my job last year. i am tied in a very unhappy marriage , though my wife is very supportive , I never feel connected to her. Now jobless, pennyless, i dont have enough strength to go on. I guess the lesson I want to leave you all is that dont take anything for granted, appreciate what u have before its too late. Here's wishing good luck to all of you who are in suffering and I sincerely hope that each one of you will get out of the slump",0
17,"(Not attention seeking)  *Trigger warning.   Want to Die, Cannot bare it no more I am 19, and am sat planning, researching and doing everything I can to die without pain. It has got to that point where I have thought about the methods. I have done terrible things. And I am not talking about small mistakes like losing a lover or what not. Things I cannot forgive myself for and it has me guilty every single day and I cannot bare it. I am not the victim I did this to myself but at the same time, i think what If I died and I regretted it? Be too late. But at the same time I am petrified of living because of the mistakes I kept on making, and i hate it. I never learned until it was too late, making the same sorts of mistakes over and over and over again. For about four years. What do I do? My mistakes I have done could put my life in danger anyway with people wanting to kill me. Torture me. Plus, on the thought about love I left the only girl I loved because I was too stupid. Please note. I will not tell anyone about my methods and do not encourage anyone in Suicide. Thank you everyone. Zach.",1
18,Depression or suicide???? I haven't decided where the best place is to place this post. I know not to make it too long otherwise people won't read it. But I'm feeling low and not good tonight and I'm not sure if i'm at risk or not. So hence the title of the message. I've been through therapy and meds and understand my childhood and how it has influenced my being and my life.... but I still cannot extricate myself from it all. So I keep questioning my existence and whether I should be here at all. And I don't have a good answer yet.,0
19,I am hanging by my last thread I have attempted suicide before and https://www.takethislife.com/substanc...-worked-44030/ explains a little more of my background. I grow more alone and unsatisfied with my life everyday and I just don't see the point to living an unhappy life. The only thing keeping me alive is the fact that I am my moms only child and I dont want to leave her alone. I need a change in my life for the better quickly.,0
20,I can't I'm past the point of wanting things to get better. I just wish I could get out of here. I'm furious all the time practically and it feels like my soul is being torn apart. This is all just too much and I never asked for all this. Its just too too much !!,1
21,"Descending I'm a 20 year old male. Over the past 9 years I've struggled with consistent severe depression and suicidal feelings. There has always been and always is within me a strong feeling that something is bubbling under, that I'm on the brink of getting too sick of it all and doing away with myself. Most of the time, I conceal these feelings and behave relatively normally, except for the occassional glance into nothingness as I drift off into dark thoughts without checking myself. Sometimes the sadness grows so overwhelming that every moment becomes an agonising struggle in which I feel I must decide whether to ""do it"" or ""not do it"". Many times I've been on the brink of suicide for days, weeks, months. I've destroyed everything I own with a hammer countless times, including expensive valuables, and even when I've done it before and regretted it I've done it all over again. I've lay catatonic in bed for weeks, not washing, barely eating, leaving my teeth to rot, not even looking out of my bedroom window. In my depression I've shattered the few friendships I've had, and those I did not shatter withered away out of my lack of enthusiasm for other human beings. I've had educational opportunities but I quickly lose enthusiasm for them and ultimately fail despite having ability. I do not live a hopeless existence. I was just recently given an unconditional offer to attend one of the world's best universities purely on the basis of my talent despite having next to no qualifications. I am in good overall physical health. I'm OK looking, and have been told many times that I have ""swagger"" and ""charisma"", though I know full well that it's a pretense, the only way I know of to hide my misery from other people. A few times I've dropped all pretenses and been frank about who I am and what I feel - that hasn't worked out so well. I've come to learn that people prefer the charade, even those who claim to love me. Anyway, my point is, I know full well that I am priveleged, compared to many. What disturbs me is that I simply don't care, because I have no enthusiasm for life. I have interests and hobbies, but they are hardly worth living for. I know people, but they, too, are not worth living for. If I could, I would forget about forming attachments, forget about enthusiasm for anything and just drift along through life in my indifference, but alas, I cannot do that. I feel too heavily burdened, for I am always weighed down by guilt, regret and doubt. I can never recover from the past. For example, I lost my only real friend over two years ago after an argument and it still torments me every day. Nor can I ever look forward to the future, because it is my natural tendency to expect history to repeat itself and for the same misfortunes to recur in my life. I feel that I am destined to be unhappy regardless of what fortunes befall me. Ultimately I see no reason to continue. I am not mentally ill and have no personality disorder, so I have no interest in seeking medical ""treatment"" and no delusion that said ""treatment"" will lead to any kind of improvement. I recognise that my unhappiness is directly connected to my core personality traits. Truth be told, I don't know why I'm posting this... I guess I just want to see what people have to say. Thanks for reading",1
22,Any last words from the audience before I kick the bucket? I have no friends and have barely had any throughout my 21 years of life. My family thinks I'm a loser. I can't have a real relationship with a guy because I'm too scared after being raped last year. My job prospects aren't good because my grades are mediocre. Nothing is fun to me anymore... Fear of possible consequences is the only thing holding me back from killing myself right now. I want to be absolutely sure that this is the right course of action before I finalize my plans. Is there any reason at all that I should live? What hope is there? I'm having a hard time finding any.,1
23,"My Introductory Post I'm in my early 20s. Since my mid-teens I've suffered depression, general anxiety, and social anxiety. I find it very difficult to function on a daily basis, and so pursuing a career in anything I'm really interesting in seems like a far-off dream. As such, I work part time doing factory work, dreaming of what I would really like to be doing. My childhood has been full of neglect and emotional and physical abuse. I speak to both parents (who are divorced), but feel a lot of hurt from the past, and don't feel I can talk to them about any real issues. I am quite intelligent in a lot of ways, but emotionally I feel like I'm still a child, as though I was never taught how to adjust to adult responsibilities. I've been on Zoloft in the past and now take Effexor. Neither have been much help. I have substance abuse issues and am probably an alcoholic. Last week I was drinking with a friend. He had no money and I spent the last of mine at the pub with him. The last thing I recall was dancing with an elderly woman to some blues music, then I blacked out. When I sobered up I was walking the streets with a dollar in my pocket, and my bag from college lost somewhere. It was freezing cold, one of the coldest nights in some time here. I spotted a garage door that was slightly open, so I let myself in and slept in a stranger's laundry. I woke up in the morning and left before they found me. There's been many times when I've woken up on footpaths or gutters. My mother was recently diagnosed with lung cancer, which is quite serious. Her chances are relatively slim. I had sex at a very early age, and have had many sexual encounters since, but have never had a proper relationship. My best friend is twice my age, and in many ways he's more like my father than my real dad. His kids have become like my own brothers and sisters and I love them very much. However, my friend has a family to look after, so the support he can offer me is limited. He is also very religious and I'm not. Often when I discuss my problems with him, he tells me that he was very similar at my age, and the only thing that got him through such problems was God. That sort of thing only makes me feel worse, like there is little hope for me. I see a psychologist sometimes, but I don't feel like I am making much progress beyond just being able to have someone else to talk to. I feel a great deal of distress and anguish on a daily basis. I often feel like no one really understands the extend of what I'm dealing with, and that it would take something drastic like a suicide attempt to make them understand. I don't really want to die, but I often fantasise about attempting suicide, and maybe finally being able to get the help I need as a consequence. I realise this seems selfish and attention-seeking, but I really feel like no one takes me seriously. Often the only thing that stops me is the idea of living with organ damage, and the thought of how my family would cope if I were to actually die. I also have problems with self-harm (cutting). My mother often tells me I should move in with her, that the change of scene will do me good, as if it were that simple. (In actuality, moving in with her would probably be a terrible move, due to her levels of stress and emotional instability.) That's pretty much it, where I'm at right now. These are just some of my problems, other things I can only discuss with my friend and counsellor due to their nature.",1
24,"Cant take this any more... been a while since iv posted here..... any ways.. i just cant take life any more i just cant, christmas time is always hard for me because in 1996 on christmas eve my dad comitited suicide, he hung him self in the bath room. i think about suicide every day, i am in pain every day, at work one of my managers is being a real dick and i am dreading working the rush hour because i have high anxiety. my anxiety is so bad i stopped going to school last year and im only 14 i cant deal with things i was getting picked on, no one would listen to me i was a lone. i still am alone i just dont see the point in living when every day i am in pain every day i dread what the world will bring me every day i cry i think about how i will end my life. i get so close to cutting my veins in my wrist then i remember my mum saying she loves me and i just cry..... i just cant take this any more! i am a failure why should i continue living when i am in pain i am dreading every thing in life. i dont know why i posted here i just wanted to know im not alone i guess.......",1
25,"One Girl Could Ruin It All I feel awful. On the 10th, this girl in my emotional support classroom tried to hit me. And ever since then, things have been spiraling out of control. I was doing so well not thinking about suicide for the past couples months and was almost 2 months clean from self-harm. And then after that... well that weekend, my friend's sister was so rude and mean to me... and then on this past Tuesday I self-harmed, twice. And then Wednesday morning, I self-harmed again. I'm such a failure. And I haven't been able to stop thinking about killing myself since that Friday. The cruel jerks rule this world, why would I want to stay? It's been 4 years since this all began and here I am, still wanting to die. When will it get better? Never. It will never change for me.",1
26,"Nearly gone . . . . I'm full of pain, :BIGsad: an acheing dull pain inside :BIGhmm: and yet :BIGsad: at the same time I feel so empty, numb and heavy . . . :BIGweepy:",0
27,"The Dark Place Well Ive been in a pretty dark place lately, been testing the waters on the couple people I have left that I think might still give a shit and they both failed. Some people call this this a cry for help, but I'm way beyond that. The only reason i haven't killed myself to date is because I thought my two friends gave a shit, that literally has been keeping me alive the last ten years. I have grown spiteful at them, almost as if it's their fault I'm here suffering. So not knowingly at first, I started pushing them away, which was surprisingly easy. Recently I have been getting worse, more depressed, drinking more, thinking about killing myself a lot more frequently, now multiple times a day, sometimes all day until I pass out. I was hoping my last couple friends would pony up and make my being here worth it, but they still believe i'm being weak or acting like a cry baby. On top of all the other crap it makes me want to kill myself just to show them Ive been serious all this time, which i know is a crazy thing to say but I suppose I'm a little tapped at this point. Pretty much close to the end of my rope, not much fight left, in fact i don't care to try anymore.",1
28,"Guys I'm too depressed Overburdened with stuff and I can't do it. I just can't do it. I was doing so well too. I have not had such a bad day in a while. ""It'll go away.."" NO IT WONT. I have to go get several root canals. I ahve to go to school don't I? I have do study for finals and I woke up depressed and I still am. I have 0 confidence and faith in myself. I hate this. I CANT DO IT. Life is so dark and depressing. How did this happen? I was perfectly fine yesterday and then BAM. I didn't even follow my plan today. Fck. Plus I think I'm being taken over by paranoia along with depression. I feel like my teeth are falling out. They are not but i feel like they are. what do i do? what is somethings wrong. I cannot live with no teeth. or my front teeth missing. idont even want to go thru the shame of having to get 3 root canals at 16. who the hell needs root canals that young? i feel like my teeth are falling out. i can feel it happening.... i just want to lie down and cry. and let it all out. but i cant. b/c i fcking share a room with my dad. i HATe my life. no one loves me and that thing is happening a gain.",1
29,"struggling, anyone want to help? If I happen to pass away soon whether it is a natural death or a suicidal death, I want people, especially my family, to know a few things. First this wasn’t caused by any single person. This is not because I’m getting bullied or because of other people. This is because I am not happy with the world or the thought of life. I just can’t stand people and their changes. I wish people could just stay the same way all the time, but that’s life and they can’t and that is why I’m not happy with a lot lately. Sure people say that I have a lot going for me, but I’m not thinking into the future and that’s my problem, how can I look into the future when I’m never happy with the current times? That’s just a calling for a problem to occur. For the past few months now, no matter what help I get, I just can’t and won’t be happy anymore. I’ve dug myself a deep hole and I realize that but I just can’t get out of it. It’s not on my list of priories right now and I would love to find a way to change things, but I can’t find the right help. I’m getting sick of the everyday depression I get, and I thought it was normal at first, but after time went on I can just see that it’s not normal at all and that I have a problem. Anyone with help I would love to hear it, Thanks a lot world. Talk to you later.",1
